Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type	Pol
2005-Siza_CE_Oct23.xml	45	construire de mes propres mains	Je n’aimerais pas	axiol	neg
2005-Siza_CE_Oct23.xml	50	Mes bâtiments inachevés, interrompus, altérés			
2005-Siza_CE_Oct23.xml	50	l’inachevé	n’ont rien à voir	axiol	
2005-Siza_CE_Oct23.xml	51	mener à bien	l’éprouvante impossibilité	axiol+autre	
2005-Siza_CE_Oct23.xml	57	construire	de la façon la plus pratique et la plus rationnelle	axiol	pos
2005-Siza_CE_Oct23.xml	63	construire en continuité	la difficulté contemporaine	axiol	neg
2005-Siza_CE_Oct23.xml	73	sa relative décadence	décadence	axiol	neg
2005-Siza_CE_Oct23.xml	75	construire des surfaces à conquérir	il m’a paru particulièrement difficile de définir les principes	axiol	neg
2005-Siza_CE_Oct23.xml	75	des surfaces à conquérir			
2005-Siza_CE_Oct23.xml	82	la nouvelle extension	en conflit avec le paysage et le profil de la ville	axiol	neg
2005-Siza_CE_Oct23.xml	85	développement de cette région	est particulièrement intense	axiol	
2005-Siza_CE_Oct23.xml	93	conserver cette ligne de côte si pleine de détails	prétendait	axiol	
2005-Siza_CE_Oct23.xml	93	construire deux grandes plates-formes			
2005-Siza_CE_Oct23.xml	102	L’implantation espagnole	réunit toute la sagesse urbanistique des temps les plus anciens	axiol	pos
2005-Siza_CE_Oct23.xml	103	multiples transformations	a souffert	axiol	neg
2005-Siza_CE_Oct23.xml	103	nouveaux développements	clandestins	axiol	
2005-Siza_CE_Oct23.xml	104	la construction	puissent aider	autre	
2005-Siza_CE_Oct23.xml	105	le tracé			
2005-Siza_CE_Oct23.xml	105	doit s’adapter à la topographie	doit	autre	
2005-Siza_CE_Oct23.xml	119	L’intervention au Chiado	nécessaire	autre	
2005-Siza_CE_Oct23.xml	119	la reconstruction de certaines parties de ce grand édifice préfabriqué qu’est la Baixa			
2005-Siza_CE_Oct23.xml	121	mal construites	mal	axiol	neg
2005-Siza_CE_Oct23.xml	129	relier la plate-forme du Chiado			
2005-Siza_CE_Oct23.xml	134	risque d’être rendu exclusivement aux piétons	risque	axiol	neg
2005-Siza_CE_Oct23.xml	142	l’empressement avec lequel on veut tout porter à l’achèvement	Un aspect qui m’impressionne beaucoup dans l’architecture et la ville de notre époque	axiol	pos
2005-Siza_CE_Oct23.xml	144	n’importe quelle intervention	s’obstine à avoir une image finale	axiol	neg
2005-Siza_CE_Oct23.xml	149	les interventions innovantes	mettent en valeur	axiol	pos
2005-Siza_CE_Oct23.xml	149	l’agonie du processus	l’agonie	axiol	neg
2005-Siza_CE_Oct23.xml	149	la conviction de l’absence d’un futur	la conviction	axiol	
2005-Siza_CE_Oct23.xml	151	construire sa propre maison	maintient l’intention	axiol	
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts			
2005-Siza_CE_Oct23.xml	152	quelques-uns d’ailleurs réalisés	en menaçant le profil de la ville	axiol	neg
2005-Siza_CE_Oct23.xml	155	préserver le territoire	S’est manifesté alors l’intention, clairement innovante pour le pays	axiol	
2005-Siza_CE_Oct23.xml	155	expérimenter des nouvelles solutions pour l’habitat	S’est manifesté alors l’intention, clairement innovante pour le pays	axiol	
2005-Siza_CE_Oct23.xml	169	les possibilités de transformation et de relations	les possibilités		
2005-Siza_CE_Oct23.xml	176	les constructions nouvelles			
2005-Siza_CE_Oct23.xml	176	la régénération des espaces ouverts des maisons préexistantes	permet	autre	
2005-Siza_CE_Oct23.xml	179	construire uniquement des maisons à patio	inacceptable	axiol	neg
2005-Siza_CE_Oct23.xml	188	la localisation	étrangère à la structure du quartier	axiol	neg
2005-Siza_CE_Oct23.xml	189	la création d’une série d’espaces interstitiels	a permis	autre	
2005-Siza_CE_Oct23.xml	189	les possibilités de projets	les possibilités	autre	
2005-Siza_CE_Oct23.xml	200	des propositions d’intervention nouvelles			
2005-Siza_CE_Oct23.xml	200	une sorte de lutte urbaine	une sorte de lutte	axiol	
2005-Siza_CE_Oct23.xml	200	la transformation de la ville existante			
2005-Siza_CE_Oct23.xml	200	le processus de destruction-construction			
2005-Siza_CE_Oct23.xml	200	son développement aux XVIIIe et XIXe siècles			
2005-Siza_CE_Oct23.xml	200	réhabilitation			
2005-Siza_CE_Oct23.xml	201	Cet effort rénovateur	n’est pas à l’abri des tendances de simplification et d’omission	axiol	neg
2005-Siza_CE_Oct23.xml	205	préserver l’identité particulière de Schilderswick	le désir	boul	
2005-Siza_CE_Oct23.xml	205	une transformation irréversible	irréversible	axiol	
2005-Siza_CE_Oct23.xml	206	préserver	le désir	boul	
2005-Siza_CE_Oct23.xml	206	changer	le désir	axiol	
2005-Siza_CE_Oct23.xml	206	la transformation urbaine non répressive et non instrumentale	non instrumentale	axiol	pos
2005-Siza_CE_Oct23.xml	207	la transformation urbaine	est prévisible	axiol	
2005-Siza_CE_Oct23.xml	210	les profondes modifications de la structure urbaine	ne sont pas compatibles	axiol	neg
2005-Siza_CE_Oct23.xml	210	la concentration systématique des zones commerciales	ne sont pas compatibles	axiol	neg
2005-Siza_CE_Oct23.xml	210	une « transformation participative »	participative		
2005-Siza_CE_Oct23.xml	210	la dégradation environnante	la dégradation	axiol	neg
2005-Siza_CE_Oct23.xml	211	La rénovation	doit être lente et étalée dans le temps	autre	
2005-Siza_CE_Oct23.xml	220	le grand effort de construction et de transformation	le grand effort	axiol	pos
2005-Siza_CE_Oct23.xml	222	cette transformation			
2005-Siza_CE_Oct23.xml	222	la table rase	croyance	autre	
2005-Siza_CE_Oct23.xml	225	a été totalement bouleversée	totalement bouleversée	axiol	neg
2005-Siza_CE_Oct23.xml	226	L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol	a eu des conséquences tout autour du centre	axiol	neg
2005-Siza_CE_Oct23.xml	226	se développe démesurément	démesurément	axiol	neg
2005-Siza_CE_Oct23.xml	227	l’interruption du système de rues et de l’ancienne logique d’occupation du sol	Les changements les plus importants survenus à ce moment-là	axiol	
2005-Siza_CE_Oct23.xml	228	une décadence et une dégradation	une dégradation	axiol	neg
2005-Siza_CE_Oct23.xml	229	ce processus de dégradation et de perte de caractère du centre historique	perte de caractère	axiol	neg
2005-Siza_CE_Oct23.xml	240	les grands bouleversements	les grands bouleversements	axiol	neg
2005-Siza_CE_Oct23.xml	241	les transformations			
2005-Siza_CE_Oct23.xml	241	ces bouleversements	ces bouleversements	axiol	neg
2005-Siza_CE_Oct23.xml	244	permette de recréer un rapport entre la rue et les tours	permette	autre	
2005-Siza_CE_Oct23.xml	246	isoler les tours	Je propose	axiol	
2005-Siza_CE_Oct23.xml	246	libérer des volumes parasites de deux ou trois étages qui s’agrippent à elles	Je propose	axiol	
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	doit	axiol	
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	adoucir	axiol	pos
2005-Siza_CE_Oct23.xml	255	urbanisation outrancière	outrancière	axiol	neg
2005-Siza_CE_Oct23.xml	255	persistance du rural			
2005-Siza_CE_Oct23.xml	259	faille les démolir	faille	autre	
2005-Siza_CE_Oct23.xml	260	faire disparaître les faits de la transformation antérieure			
2005-Siza_CE_Oct23.xml	260	la transformation antérieure	on peut qualifier de regrettable	axiol	neg
2005-Siza_CE_Oct23.xml	261	démolitions de structures existantes	je suis contre l’idée	axiol	neg
2005-Siza_CE_Oct23.xml	262	détruit	systématiquement	axiol	neg
2005-Siza_CE_Oct23.xml	263	vouloir tout préserver	vouloir	boul	
2005-Siza_CE_Oct23.xml	278	le développement des villes			
2005-Siza_CE_Oct23.xml	278	des transformations en cours	dérèglement des logiques	axiol	neg
2005-Siza_CE_Oct23.xml	278	des persistances	dérèglement des logiques	axiol	neg
2003-Corajoud_CE_Oct23.xml	13	la transformation			
2003-Corajoud_CE_Oct23.xml	13	l’invention			
2003-Corajoud_CE_Oct23.xml	13	la conception	était décisive	axiol	pos
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	voulait	autre	
2003-Corajoud_CE_Oct23.xml	76	enveloppant littéralement une rue gigantesque			
2003-Corajoud_CE_Oct23.xml	76	devait requalifier l’Urbain	devait	autre	
2003-Corajoud_CE_Oct23.xml	95	fallait concevoir un enchaînement d’espaces « capables »	fallait	autre	
2003-Corajoud_CE_Oct23.xml	100	ne sont toujours pas terminés	toujours pas	axiol	
2003-Corajoud_CE_Oct23.xml	101	Ce projet	a joué un rôle considérable	axiol	pos
2003-Corajoud_CE_Oct23.xml	101	la conception des paysages			
2003-Corajoud_CE_Oct23.xml	101	projets urbains			
2003-Corajoud_CE_Oct23.xml	104	ne serait pas bousculée	bousculée	axiol	neg
2003-Corajoud_CE_Oct23.xml	105	ne pas déranger le sol	ne pas déranger	axiol	neg
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace	ne pas déranger	axiol	neg
2003-Corajoud_CE_Oct23.xml	105	poser des objets			
2003-Corajoud_CE_Oct23.xml	105	s’en abstenir			
2003-Corajoud_CE_Oct23.xml	110	agir de manière définitive sur l’espace	Jusque-là, je pensais que l’on pouvait	axiol	
2003-Corajoud_CE_Oct23.xml	110	la réalisation			
2003-Corajoud_CE_Oct23.xml	129	l’amélioration et à la transformation des lieux	l’amélioration	axiol	pos
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe	voulions	autre	
2003-Corajoud_CE_Oct23.xml	150	En valorisant les quelques hectares de pans de murs	En valorisant	axiol	pos
2003-Corajoud_CE_Oct23.xml	150	perdurent			
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	pourrait	autre	
