Nom_fichier	Numéro_Phrase	Dynamique	Lieu_objet	Lieu_loc	Temps	Acteur	Perc	Doc
2003-Corajoud_20230710.xml	2	construire la ville	la ville					
2003-Corajoud_20230710.xml	4	projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité »	la « suburbanité »					
2003-Corajoud_20230710.xml	9	en ne gardant que l’enveloppe des murs et les structures porteuses						
2003-Corajoud_20230710.xml	12	le projet de paysage	paysage					
2003-Corajoud_20230710.xml	13	la conception						
2003-Corajoud_20230710.xml	30	se transformer						
2003-Corajoud_20230710.xml	34	les projets d’aménagement de nombreux espaces extérieurs	nombreux espaces extérieurs			j		
2003-Corajoud_20230710.xml	47	le projet du quartier de l’Arlequin	quartier de l’Arlequin	à la Villeneuve de Grenoble				
2003-Corajoud_20230710.xml	48	cette opération				Georges Loiseau et Jean Tribel, architectes à l’AUA		
2003-Corajoud_20230710.xml	49	devions en étudier la « rue » et le parc au centre du quartier	le parc au centre du quartier			Nous		
2003-Corajoud_20230710.xml	51	voulait créer de véritables espaces publics : la rue, le parc	le parc				voulait	
2003-Corajoud_20230710.xml	55	l’arrivée du grand centre commercial	grand centre commercial					
2003-Corajoud_20230710.xml	58	projet du parc de vingt hectares de la Villeneuve	parc de vingt hectares de la Villeneuve					
2003-Corajoud_20230710.xml	59	des efforts qui ont façonné la campagne						
2003-Corajoud_20230710.xml	62	les graver						
2003-Corajoud_20230710.xml	71	matière œuvrée par l’architecture						
2003-Corajoud_20230710.xml	76	devait requalifier l’Urbain						
2003-Corajoud_20230710.xml	82	quartier à venir						
2003-Corajoud_20230710.xml	93	grandes forêts de Bondy et de Sevran, en partie disparues						
2003-Corajoud_20230710.xml	94	l’extrême lenteur de croissance d’une forêt						
2003-Corajoud_20230710.xml	95	fallait concevoir un enchaînement d’espaces « capables »						
2003-Corajoud_20230710.xml	96	serait équipée progressivement	une sorte de campagne bocagère et boisée					
2003-Corajoud_20230710.xml	99	la plantation de 400 000 très jeunes arbres						
2003-Corajoud_20230710.xml	100	ne sont toujours pas terminés			Après vingt ans		toujours pas	
2003-Corajoud_20230710.xml	101	projets urbains						
2003-Corajoud_20230710.xml	104	ne serait pas bousculée	cette terre				bousculée	
2003-Corajoud_20230710.xml	105	s’en abstenir						
2003-Corajoud_20230710.xml	109	neuf tranches actuellement réalisées						
2003-Corajoud_20230710.xml	110	la réalisation						
2003-Corajoud_20230710.xml	112	donner leur forme effective aux différents espaces	aux différents espaces		à terme			
2003-Corajoud_20230710.xml	113	génère son propre avènement						
2003-Corajoud_20230710.xml	119	projet sur le paysage	le paysage					
2003-Corajoud_20230710.xml	123	réconcilier les fragments chaotiques d’un territoire de banlieue	les fragments chaotiques d’un territoire de banlieue					
2003-Corajoud_20230710.xml	125	tisse un « milieu »	un « milieu »					
2003-Corajoud_20230710.xml	129	l’amélioration et à la transformation des lieux	lieux				l’amélioration	
2003-Corajoud_20230710.xml	133	se développent	les différentes scènes végétales : hêtraie, chênaie, frênaie, pinède, aulnaie en lisière ou en plein bois ou encore celles du marais ou du bocage		à terme			
2003-Corajoud_20230710.xml	136	ne serait donc pas modifiée	La topographie					
2003-Corajoud_20230710.xml	139	voulions, en effet, réintroduire ce grand axe	ce grand axe	dans le patrimoine des avenues parisiennes		Nous	voulions	
2003-Corajoud_20230710.xml	149	s’est organisée	la forme urbaine de Montreuil		Jusqu’à la dernière guerre			
2003-Corajoud_20230710.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine						
2003-Corajoud_20230710.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	des activités de type horticole ou agricole	entre ces murs			je pensais qu’un bon moyen de prolonger l’histoire de ce territoire	
2003-Corajoud_20230710.xml	152	la préservation des espaces « naturels » du quartier						
2003-Corajoud_20230710.xml	154	trouveraient aisément leur place	de petites activités artisanales	dans ce parcellaire			aisément	
2003-Corajoud_20230710.xml	155	des configurations urbaines futures						
2003-Corajoud_20230710.xml	156	la sauvegarde						
2003-Corajoud_20230710.xml	157	l’avenir des murs	murs					
2003-Corajoud_20230710.xml	159	l’aménagement de la Cité internationale	la Cité internationale			Renzo Piano		
2003-Corajoud_20230710.xml	160	doit être immergé	L’ensemble urbain de la Cité internationale	dans le paysage			doit	
2003-Corajoud_20230710.xml	161	dessiner, avec lui, les espaces publics	les espaces publics			avec lui		
2003-Corajoud_20230710.xml	162	la digue plusieurs fois modifiée	la digue					
2003-Corajoud_20230710.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	un maillage d’« allées-jardins »			la collectivité publique	devait, à son tour	
2003-Corajoud_20230710.xml	171	toute forme nouvelle d’aménagement					Nous pensions donc	
2003-Corajoud_20230710.xml	174	fut dessiné						
2003-Corajoud_20230710.xml	176	ses diverses constructions						
2003-Corajoud_20230710.xml	177	maintenir, à recréer et renforcer ce système de strates parallèles aux berges	ce système de strates parallèles aux berges					
2003-Corajoud_20230710.xml	179	Toute forme nouvelle d’aménagement						
2003-Corajoud_20230710.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc						
2003-Corajoud_20230710.xml	181	recompose les berges de la rive gauche	les berges de la rive gauche					
2003-Corajoud_20230710.xml	187	le projet urbain des huit cents hectares de la Plaine Saint-Denis	huit cents hectares de la Plaine Saint-Denis		pour six ans	moi-même		
2003-Corajoud_20230710.xml	193	Urbaniser la Plaine	la Plaine		au XIXe siècle		une entreprise facile	
2003-Corajoud_20230710.xml	194	la juxtaposition des emprises et des constructions						
2003-Corajoud_20230710.xml	195	a occupé les rives	les rives				sans restriction	
2003-Corajoud_20230710.xml	200	l’enchevêtrement des constructions et des ouvrages	ouvrages					
2003-Corajoud_20230710.xml	202	en créant des systèmes d’interrelations						
2003-Corajoud_20230710.xml	203	la renaissance de la Plaine	la Plaine				Nous sommes persuadés	
2003-Corajoud_20230710.xml	204	La prolifération des objets	objets					
2003-Corajoud_20230710.xml	207	un projet sur le paysage						
2003-Corajoud_20230710.xml	209	un avenir pour la Plaine	la Plaine					
2003-Corajoud_20230710.xml	211	Le projet urbain de la Plaine Saint-Denis	la Plaine Saint-Denis					
2003-Corajoud_20230710.xml	217	Ces voies nouvelles	Ces voies					
2003-Corajoud_20230710.xml	219	renouveler le principe des arbres en ligne	arbres en ligne					
2003-Corajoud_20230710.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes		sur ce territoire délicat		certains constructeurs	plaqué	des plans masse absurdes
2003-Corajoud_20230710.xml	225	produisait sans cesse des culs-de-sac bornés						
2003-Corajoud_20230710.xml	228	l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé	« le village de Terre »			un collectif d’architectes		
2003-Corajoud_20230710.xml	230	s’orientent	les quartiers	sur cette belle campagne				
2003-Corajoud_20230710.xml	232	couverture de l’autoroute A1	l’autoroute A1	Saint-Denis				
2003-Corajoud_20230710.xml	233	fut éventrée	avenue du « Président Wilson »	Au centre de la Plaine Saint-Denis	en 1960		éventrée	
2003-Corajoud_20230710.xml	234	est alors coupée en deux	La Plaine				dévastée par le bruit et la pollution	
2003-Corajoud_20230710.xml	235	veut implanter le Stade de France	le Stade de France	à Saint-Denis	En 1987	l’État	veut	
2003-Corajoud_20230710.xml	236	soit couverte	l’autoroute				exigent, avant toute négociation	
2003-Corajoud_20230710.xml	237	reconstituer le sol de pratique						
2003-Corajoud_20230710.xml	238	le projet urbain de toute la Plaine						
2003-Corajoud_20230710.xml	240	aménagement de l’avenue du Président Wilson						
2003-Corajoud_20230710.xml	246	avaient plaqué des plans masse absurdes		sur ce territoire délicat		certains constructeurs	plaqué	des plans masse absurdes
