Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	axe_temp	absolu	Type
2005-Siza_CE_Oct23.xml	111	la Baixa de Lisbonne, entièrement reconstruite	après le tremblement de terre de 1755	pas	oui	dur
2005-Siza_CE_Oct23.xml	119	L’intervention au Chiado	après l’incendie de 1988	pas	oui	dur
2005-Siza_CE_Oct23.xml	119	la reconstruction de certaines parties de ce grand édifice préfabriqué qu’est la Baixa				
2005-Siza_CE_Oct23.xml	120	l’intervention du XVIIIe siècle	du XVIIIe siècle	pas		
2005-Siza_CE_Oct23.xml	121	mal construites	souvent			
2005-Siza_CE_Oct23.xml	144	n’importe quelle intervention	Aujourd’hui	pres		
2005-Siza_CE_Oct23.xml	187	ai laissé quelques espaces mesurés				
2005-Siza_CE_Oct23.xml	187	seront occupés	successivement	fut		
2005-Siza_CE_Oct23.xml	200	des propositions d’intervention nouvelles				
2005-Siza_CE_Oct23.xml	200	une sorte de lutte urbaine				
2005-Siza_CE_Oct23.xml	200	la transformation de la ville existante				
2005-Siza_CE_Oct23.xml	200	le processus de destruction-construction				
2005-Siza_CE_Oct23.xml	200	son développement aux XVIIIe et XIXe siècles	aux XVIIIe et XIXe siècles	pas		dur
2005-Siza_CE_Oct23.xml	200	réhabilitation				
2005-Siza_CE_Oct23.xml	222	cette transformation	dans les années 1970	pas	oui	dur
2005-Siza_CE_Oct23.xml	222	la table rase				
2005-Siza_CE_Oct23.xml	260	faire disparaître les faits de la transformation antérieure				
2005-Siza_CE_Oct23.xml	260	la transformation antérieure	antérieure	pas		
2005-Siza_CE_Oct23.xml	278	le développement des villes				
2005-Siza_CE_Oct23.xml	278	des transformations en cours	en cours			
2005-Siza_CE_Oct23.xml	278	des persistances				
2003-Corajoud_CE_Oct23.xml	82	Réalisé	dans les mêmes années	pas		dur
2003-Corajoud_CE_Oct23.xml	82	ce parc, construit				
2003-Corajoud_CE_Oct23.xml	82	quartier à venir				
2003-Corajoud_CE_Oct23.xml	99	Les travaux du parc ont commencé	en 1982	pas	oui	
2003-Corajoud_CE_Oct23.xml	99	la plantation de 400 000 très jeunes arbres				
2003-Corajoud_CE_Oct23.xml	100	ne sont toujours pas terminés	Après vingt ans	pres		
2003-Corajoud_CE_Oct23.xml	109	travaux réalisés en plusieurs tranches	à partir de 1983	pas	oui	dur
2003-Corajoud_CE_Oct23.xml	109	neuf tranches actuellement réalisées	actuellement	pres		
2003-Corajoud_CE_Oct23.xml	112	donner leur forme effective aux différents espaces	à terme			
2003-Corajoud_CE_Oct23.xml	133	se développent	à terme			
2003-Corajoud_CE_Oct23.xml	149	s’est organisée	Jusqu’à la dernière guerre	pas		dur
2003-Corajoud_CE_Oct23.xml	155	cette dynamique				
2003-Corajoud_CE_Oct23.xml	155	des configurations rurales anciennes sauvées				
