Nom_fichier	Numéro_Phrase	Dynamique	Cause	Res	Obj
2005-Siza_CE_Oct23.xml	75	construire des surfaces à conquérir	none	none	none
2005-Siza_CE_Oct23.xml	75	des surfaces à conquérir	none	des surfaces à conquérir	none
2005-Siza_CE_Oct23.xml	85	développement de cette région	sous l’influence des liaisons avec Hong Kong et Canton	none	none
2005-Siza_CE_Oct23.xml	91	les nouveaux espaces à construire	none	les nouveaux espaces	none
2005-Siza_CE_Oct23.xml	93	conserver cette ligne de côte si pleine de détails	none	none	none
2005-Siza_CE_Oct23.xml	93	construire deux grandes plates-formes	none	deux grandes plates-formes	none
2005-Siza_CE_Oct23.xml	100	villes fondées	none	villes	none
2005-Siza_CE_Oct23.xml	107	Le dessin des espaces publics et de l’architecture	none	espaces publics	none
2005-Siza_CE_Oct23.xml	129	relier la plate-forme du Chiado	none	un parcours	none
2005-Siza_CE_Oct23.xml	151	construire sa propre maison	none	sa propre maison	none
2005-Siza_CE_Oct23.xml	152	la construction de bâtiments hauts	none	bâtiments hauts	none
2005-Siza_CE_Oct23.xml	152	quelques-uns d’ailleurs réalisés	none	quelques-uns	none
2005-Siza_CE_Oct23.xml	154	la préservation de la bande verte qui accompagne la ligne d’eau	none	none	none
2005-Siza_CE_Oct23.xml	154	la construction d’habitations basses très denses	none	habitations basses très denses	none
2005-Siza_CE_Oct23.xml	164	les bâtiments de sept niveaux construits	none	les bâtiments de sept niveaux	none
2005-Siza_CE_Oct23.xml	172	ai décidé de tracer aussi l’axe nord-sud	none	l’axe nord-sud	none
2005-Siza_CE_Oct23.xml	179	construire uniquement des maisons à patio	none	des maisons à patio	none
2005-Siza_CE_Oct23.xml	184	la construction des logements	none	logements	none
2005-Siza_CE_Oct23.xml	189	la création d’une série d’espaces interstitiels	none	multiplient les possibilités de projets	none
2005-Siza_CE_Oct23.xml	189	les possibilités de projets	la création d’une série d’espaces interstitiels	none	none
2005-Siza_CE_Oct23.xml	194	La construction de villes nouvelles ou de quartiers de ville	développement économique et urbain	de quartiers de ville	none
2005-Siza_CE_Oct23.xml	194	développement économique et urbain	none	La construction de villes nouvelles ou de quartiers de ville	none
2005-Siza_CE_Oct23.xml	226	L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol	none	un grand ensemble qui commence au sous-sol	none
2005-Siza_CE_Oct23.xml	226	se développe démesurément	none	none	none
2005-Siza_CE_Oct23.xml	241	les transformations	none	ces bouleversements	none
2005-Siza_CE_Oct23.xml	241	ces bouleversements	les transformations	none	none
2005-Siza_CE_Oct23.xml	244	permette de recréer un rapport entre la rue et les tours	none	un rapport entre la rue et les tours	none
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	none	constructions de deux ou trois étages	afin d’adoucir le rapport à la ville ancienne et les deux tours
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	none	none	none
2005-Siza_CE_Oct23.xml	261	démolitions de structures existantes	none	on nie l’histoire et une quantité de choses qui vont avec: bois, pierres, enduits – travaillés ou non, qu’importe –, une quantité de choses	none
2005-Siza_CE_Oct23.xml	268	créer comme une grille	none	une grille	none
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	none	le parc	none
2003-Corajoud_CE_Oct23.xml	82	Réalisé	none	le parc d’Élancourt-Maurepas	none
2003-Corajoud_CE_Oct23.xml	82	ce parc, construit	none	ce parc	none
2003-Corajoud_CE_Oct23.xml	82	quartier à venir	none	none	none
2003-Corajoud_CE_Oct23.xml	93	la création d’un parc forestier	none	un parc forestier	none
2003-Corajoud_CE_Oct23.xml	93	réactualiser l’imaginaire des grandes forêts de Bondy et de Sevran, en partie disparues	none	none	none
2003-Corajoud_CE_Oct23.xml	93	grandes forêts de Bondy et de Sevran, en partie disparues	none	none	none
2003-Corajoud_CE_Oct23.xml	150	En valorisant les quelques hectares de pans de murs	none	la ville de Montreuil peut se constituer une mémoire à partir de laquelle, elle pourrait, à nouveau, transposer et singulariser sa forme urbaine	none
2003-Corajoud_CE_Oct23.xml	150	perdurent	none	none	none
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	none	none	none
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	none	de petites activités artisanales	none
2003-Corajoud_CE_Oct23.xml	180	nature idyllique, horticole et domestiquée	none	none	none
2003-Corajoud_CE_Oct23.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc	none	un nouveau parc	none
2003-Corajoud_CE_Oct23.xml	181	recompose les berges de la rive gauche	none	none	pour les rendre à la fréquentation
2003-Corajoud_CE_Oct23.xml	217	Ces voies nouvelles	none	Ces voies	none
2003-Corajoud_CE_Oct23.xml	225	aménageaient	none	none	none
2003-Corajoud_CE_Oct23.xml	225	produisait sans cesse des culs-de-sac bornés	none	des culs-de-sac bornés	none
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	none	pour le passage en tranchée de l’autoroute A1	none
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	none	le Stade de France	none
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	none	un grand jardin linéaire de 500 mètres par 50	none
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	none	jardin	qui fasse référence à la maîtrise des plantes par le travail de l’homme
2022-Boutté_CE_Oct23.xml	23	la construction de bâtiments hypercompacts donc épais	none	none	none
2022-Boutté_CE_Oct23.xml	76	notre intervention	none	des conséquences sur le futur	none
2022-Boutté_CE_Oct23.xml	76	des conséquences sur le futur	none	none	none
2022-Boutté_CE_Oct23.xml	109	appauvrit nécessairement la forme urbaine	Un suivi plus « basique » étayé sur l’exigence d’obtention de labels est évidemment beaucoup plus simple à mettre en œuvre pour un aménageur, mais son systématisme	none	none
2022-Boutté_CE_Oct23.xml	132	des conséquences importantes sur la qualité architecturale	la pensée sur l’énergie, le carbone et plus généralement le confort thermique	none	none
2022-Boutté_CE_Oct23.xml	153	concevoir une forme urbaine	none	une forme urbaine	none
2022-Boutté_CE_Oct23.xml	172	ont eu pour conséquence d’impacter la morphologie bâtie	ces référentiels	none	none
2022-Boutté_CE_Oct23.xml	172	la forme urbaine qui pouvait en résulter	none	none	none
2022-Boutté_CE_Oct23.xml	182	génère des formes bâties très poreuses	La forte mitoyenneté	none	none
2022-Boutté_CE_Oct23.xml	183	une haute réversibilité	la puissance qu’ont les invariants morphologiques et constructifs	none	none
2022-Boutté_CE_Oct23.xml	193	concevoir des bâtiments bas carbone	none	des bâtiments bas carbone	none
2022-Boutté_CE_Oct23.xml	193	le cycle de vie du bâtiment	none	none	none
2022-Boutté_CE_Oct23.xml	230	organisation de la densité	none	none	none
2022-Boutté_CE_Oct23.xml	230	la densification des tissus urbains	none	none	none
2022-Boutté_CE_Oct23.xml	230	nouveaux logements	none	logements	none
2022-Boutté_CE_Oct23.xml	230	l’étalement urbain	none	none	none
2022-Boutté_CE_Oct23.xml	240	Le nouveau bâtiment	none	bâtiment	none
2022-Boutté_CE_Oct23.xml	308	nouvelles gares tgv	none	gares tgv	none
2022-Boutté_CE_Oct23.xml	403	la mutation des territoires	none	none	la recherche de l’efficience
2022-Boutté_CE_Oct23.xml	406	la ville nouvelle de Zenata	none	la ville	none
2022-Boutté_CE_Oct23.xml	445	L’exercice mené sur la « rue commune »	none	none	none
2022-Boutté_CE_Oct23.xml	445	imaginant la ville apaisée	none	none	none
2022-Boutté_CE_Oct23.xml	445	réaliser des territoires durables	none	territoires durables	none
2022-Boutté_CE_Oct23.xml	499	les interventions humaines	none	créent de la rupture et de la discontinuité	none
2022-Boutté_CE_Oct23.xml	499	en posant des limites et des frontières	none	créent de la rupture et de la discontinuité	none
2022-Boutté_CE_Oct23.xml	499	en définissant des parcelles	none	créent de la rupture et de la discontinuité	none
2022-Boutté_CE_Oct23.xml	499	en érigeant des murs	none	créent de la rupture et de la discontinuité	none
2022-Boutté_CE_Oct23.xml	499	créent de la rupture et de la discontinuité	les interventions humaines, en posant des limites et des frontières, en définissant des parcelles, en érigeant des murs	none	none
2022-Boutté_CE_Oct23.xml	501	seraient à restaurer	none	none	pour faire le projet avec le vivant
2022-Boutté_CE_Oct23.xml	501	faire le projet avec le vivant	none	none	none
2022-Boutté_CE_Oct23.xml	535	reconquête de ces secteurs en friche	none	none	none
2022-Boutté_CE_Oct23.xml	535	« faire ville »	none	none	pour édifier jusqu’à 1 million de m2
2022-Boutté_CE_Oct23.xml	535	édifier jusqu’à 1 million de m2	none	jusqu’à 1 million de m2	none
2022-Boutté_CE_Oct23.xml	559	le rétablissement d’une continuité urbaine entre Bercy et Charenton	none	none	Dans un objectif de réparation et de couture
2022-Boutté_CE_Oct23.xml	560	transformer un paysage industriel	none	none	none
2022-Boutté_CE_Oct23.xml	560	reconquérir un territoire contraint par des infrastructures ferroviaires et industrielles	none	none	none
2022-Boutté_CE_Oct23.xml	560	un quartier durable	none	none	none
2022-Boutté_CE_Oct23.xml	567	futur quartier de Bercy-Charenton	none	none	l’idée d’être à la fois un lieu qui ne ressemble à aucun autre à proximité mais en même temps être plus que la somme des identités des voisins
2022-Boutté_CE_Oct23.xml	607	la ville nouvelle de Zenata	none	la ville	none
2022-Boutté_CE_Oct23.xml	616	fondation de la ville	none	la ville	none
2022-Boutté_CE_Oct23.xml	621	dessine >la ville comme un « climatiseur territorial naturel »	none	>la ville	none
2022-Boutté_CE_Oct23.xml	630	ce nouveau quartier	none	quartier	Comment inscrire la dimension environnementale
2022-Boutté_CE_Oct23.xml	642	dessiner de façon scientifique un quartier-ville	none	un quartier-ville	none
2022-Boutté_CE_Oct23.xml	647	est devenue une écocité du Sud	none	une écocité du Sud	none
2022-Boutté_CE_Oct23.xml	668	sont considérablement renforcées	none	none	none
2022-Boutté_CE_Oct23.xml	668	créant des épaisseurs ombragées	none	des épaisseurs ombragées	none
2022-Boutté_CE_Oct23.xml	722	l’installation d’une chaufferie bois et d’une boucle d’énergie	none	une boucle d’énergie	none
2022-Boutté_CE_Oct23.xml	724	la réalisation du quartier	none	quartier	none
2022-Boutté_CE_Oct23.xml	733	n’édifier désormais pour ses installations que des bâtiments à énergie positive	none	des bâtiments à énergie positive	none
2022-Boutté_CE_Oct23.xml	750	le projet 1 000 arbres	none	none	none
2022-Boutté_CE_Oct23.xml	750	le bâtiment pensé	none	none	a l’ambition de proposer un artefact de forêt sur son toit aux vertus écologiques diverses anticipées
2022-Boutté_CE_Oct23.xml	750	proposer un artefact de forêt	none	none	none
2022-Boutté_CE_Oct23.xml	750	est conçue comme une expérimentation	none	none	instrumentée pour servir la connaissance
2022-Boutté_CE_Oct23.xml	768	Le projet Saussure, érigé en 2014	none	none	none
2022-Boutté_CE_Oct23.xml	768	la nouvelle Zac Clichy-Batignolles	none	Zac Clichy-Batignolles	none
2022-Boutté_CE_Oct23.xml	778	un immeuble totalement mutable	none	none	none
2022-Boutté_CE_Oct23.xml	778	de logement à logement reconfiguré	none	à logement reconfiguré	none
2022-Boutté_CE_Oct23.xml	778	de logement à bureau	none	à bureau	none
2022-Boutté_CE_Oct23.xml	793	la production contemporaine	none	none	none
2022-Boutté_CE_Oct23.xml	793	la finesse des éléments bâtis	none	la densité acceptable résultant	none
